RECIPE_EVAL s10_adakv_confirm {'method': 0.0, 'kvpress': 'adakv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s4_knorm_r0.4 {'method': 0.9583333333333334, 'kvpress': 'knorm', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_knorm_r0.55 {'method': 0.7916666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_knorm_r0.7 {'method': 0.3333333333333333, 'kvpress': 'knorm', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_knorm_r0.85 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s4_kvzip_r0.1 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_kvzip_r0.25 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s4_kvzip_r0.4 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_kvzip_r0.55 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_kvzip_r0.7 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_kvzip_r0.85 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s4_snapkv_r0.1 {'method': 0.9375, 'kvpress': 'snapkv', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_snapkv_r0.25 {'method': 0.8125, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s4_snapkv_r0.4 {'method': 0.6458333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_snapkv_r0.55 {'method': 0.375, 'kvpress': 'snapkv', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_snapkv_r0.7 {'method': 0.1875, 'kvpress': 'snapkv', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_snapkv_r0.85 {'method': 0.041666666666666664, 'kvpress': 'snapkv', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s4_streaming_r0.1 {'method': 0.9166666666666666, 'kvpress': 'streaming', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_streaming_r0.25 {'method': 0.8125, 'kvpress': 'streaming', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s4_streaming_r0.4 {'method': 0.6458333333333334, 'kvpress': 'streaming', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_streaming_r0.55 {'method': 0.5, 'kvpress': 'streaming', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_streaming_r0.7 {'method': 0.375, 'kvpress': 'streaming', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_streaming_r0.85 {'method': 0.20833333333333334, 'kvpress': 'streaming', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s4_tova_r0.1 {'method': 0.8958333333333334, 'kvpress': 'tova', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_tova_r0.25 {'method': 0.7083333333333334, 'kvpress': 'tova', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s4_tova_r0.4 {'method': 0.4583333333333333, 'kvpress': 'tova', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_tova_r0.55 {'method': 0.14583333333333334, 'kvpress': 'tova', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_tova_r0.7 {'method': 0.08333333333333333, 'kvpress': 'tova', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_tova_r0.85 {'method': 0.020833333333333332, 'kvpress': 'tova', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s5_hotpot_qa_w1024 {'no_ctx': 0.2875999579124579, 'full': 0.5830883475184946, 'method': 0.6109495488171959, 'mode': 'txl'}
RECIPE_EVAL s5_hotpot_qa_w128 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.35860399557550293, 'mode': 'txl'}
RECIPE_EVAL s5_hotpot_qa_w2048 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.5854921936723407, 'mode': 'txl'}
RECIPE_EVAL s5_hotpot_qa_w256 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.4231525765900766, 'mode': 'txl'}
RECIPE_EVAL s5_hotpot_qa_w4096 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.5854921936723407, 'mode': 'txl'}
RECIPE_EVAL s5_hotpot_qa_w512 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.49342107545232544, 'mode': 'txl'}
RECIPE_EVAL s5_narrativeqa_w1024 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.14777186371031245, 'mode': 'txl'}
RECIPE_EVAL s5_narrativeqa_w128 {'no_ctx': 0.10839255846325375, 'full': 0.16095484038728478, 'method': 0.15035163831039114, 'mode': 'txl'}
RECIPE_EVAL s5_narrativeqa_w2048 {'no_ctx': 0.10839255846325375, 'full': 0.16095484038728478, 'method': 0.1648584978079172, 'mode': 'txl'}
RECIPE_EVAL s5_narrativeqa_w256 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.14283166312677512, 'mode': 'txl'}
RECIPE_EVAL s5_narrativeqa_w4096 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.14755499581466652, 'mode': 'txl'}
RECIPE_EVAL s5_narrativeqa_w512 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.13458472793074733, 'mode': 'txl'}
RECIPE_EVAL s5_numerical_niah_w1024 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.0625, 'mode': 'txl'}
RECIPE_EVAL s5_numerical_niah_w128 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.015625, 'mode': 'txl'}
RECIPE_EVAL s5_numerical_niah_w2048 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.109375, 'mode': 'txl'}
RECIPE_EVAL s5_numerical_niah_w512 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.0, 'mode': 'txl'}
RECIPE_EVAL s5_ruler_niah_w1024 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.15625, 'mode': 'txl'}
RECIPE_EVAL s5_ruler_niah_w128 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.0, 'mode': 'txl'}
RECIPE_EVAL s5_ruler_niah_w2048 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.3125, 'mode': 'txl'}
RECIPE_EVAL s5_ruler_niah_w256 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.015625, 'mode': 'txl'}
RECIPE_EVAL s5_ruler_niah_w4096 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.5625, 'mode': 'txl'}
RECIPE_EVAL s5_ruler_niah_w512 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.046875, 'mode': 'txl'}
RECIPE_EVAL s5_squad_v2_w1024 {'no_ctx': 0.18231611591248145, 'full': 0.674424883942547, 'method': 0.674424883942547, 'mode': 'txl'}
RECIPE_EVAL s5_squad_v2_w128 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.4761191354715851, 'mode': 'txl'}
RECIPE_EVAL s5_squad_v2_w2048 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.6763322050949626, 'mode': 'txl'}
RECIPE_EVAL s5_squad_v2_w256 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.681548625902416, 'mode': 'txl'}
RECIPE_EVAL s5_squad_v2_w4096 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.6763322050949626, 'mode': 'txl'}
RECIPE_EVAL s5_squad_v2_w512 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.6763322050949626, 'mode': 'txl'}
RECIPE_EVAL s5_trivia_qa_w1024 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.6069837827480491, 'mode': 'txl'}
RECIPE_EVAL s5_trivia_qa_w128 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.5202117327117327, 'mode': 'txl'}
RECIPE_EVAL s5_trivia_qa_w2048 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.6325944567962231, 'mode': 'txl'}
RECIPE_EVAL s5_trivia_qa_w256 {'no_ctx': 0.5071137304812976, 'full': 0.7114697048120961, 'method': 0.526708887606426, 'mode': 'txl'}
RECIPE_EVAL s5_trivia_qa_w4096 {'no_ctx': 0.5071137304812976, 'full': 0.7114697048120961, 'method': 0.7114697048120961, 'mode': 'txl'}
RECIPE_EVAL s5_trivia_qa_w512 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.5601012076026063, 'mode': 'txl'}
RECIPE_EVAL s6_full_locomo {'no_ctx': 0.08219695172864622, 'full': 0.18707179820638487, 'method': 0.18707179820638487, 'mode': 'txl'}
RECIPE_EVAL s6_full_musr_mm {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.578125, 'mode': 'txl'}
RECIPE_EVAL s6_full_narrativeqa {'no_ctx': 0.10839255846325375, 'full': 0.16095484038728478, 'method': 0.16095484038728478, 'mode': 'txl'}
RECIPE_EVAL s6_full_quality {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.0625, 'mode': 'txl'}
RECIPE_EVAL s6_full_quality_hard {'no_ctx': 0.25, 'full': 0.109375, 'method': 0.109375, 'mode': 'txl'}
RECIPE_EVAL s6_full_ruler_nc176 {'no_ctx': 0.0, 'full': 1.0, 'method': 1.0, 'mode': 'txl'}
RECIPE_EVAL s6_full_ruler_nc44 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.921875, 'mode': 'txl'}
RECIPE_EVAL s6_full_ruler_nc88 {'no_ctx': 0.0, 'full': 0.984375, 'method': 0.984375, 'mode': 'txl'}
RECIPE_EVAL s6_rca_ndis0 {'no_ctx': 0.171875, 'full': 0.890625, 'method': 0.890625, 'mode': 'txl'}
RECIPE_EVAL s6_rca_ndis2 {'no_ctx': 0.25, 'full': 0.84375, 'method': 0.84375, 'mode': 'txl'}
RECIPE_EVAL s6_rca_ndis4 {'no_ctx': 0.1875, 'full': 0.71875, 'method': 0.71875, 'mode': 'txl'}
RECIPE_EVAL s6_win1k_locomo {'no_ctx': 0.08219695172864622, 'full': 0.18707179820638487, 'method': 0.09545838949742781, 'mode': 'txl'}
RECIPE_EVAL s6_win1k_musr_mm {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.53125, 'mode': 'txl'}
RECIPE_EVAL s6_win1k_narrativeqa {'no_ctx': 0.10839255846325375, 'full': 0.16095484038728478, 'method': 0.1463034432091725, 'mode': 'txl'}
RECIPE_EVAL s6_win1k_quality {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.109375, 'mode': 'txl'}
RECIPE_EVAL s6_win1k_quality_hard {'no_ctx': 0.25, 'full': 0.109375, 'method': 0.15625, 'mode': 'txl'}
RECIPE_EVAL s7_hotpot_qa_r0.1 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.3162909955648926, 'mode': 'llmlingua'}
RECIPE_EVAL s7_hotpot_qa_r0.25 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.4066654265873016, 'mode': 'llmlingua'}
RECIPE_EVAL s7_hotpot_qa_r0.5 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.5032933129392108, 'mode': 'llmlingua'}
RECIPE_EVAL s7_hotpot_qa_r0.67 {'no_ctx': 0.2882464122936684, 'full': 0.5854921936723407, 'method': 0.5876984126984127, 'mode': 'llmlingua'}
RECIPE_EVAL s7_narrativeqa_r0.1 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.1964016422637949, 'mode': 'llmlingua'}
RECIPE_EVAL s7_narrativeqa_r0.25 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.21266108209049914, 'mode': 'llmlingua'}
RECIPE_EVAL s7_narrativeqa_r0.33 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.18052053970219537, 'mode': 'llmlingua'}
RECIPE_EVAL s7_narrativeqa_r0.67 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.1896382725467958, 'mode': 'llmlingua'}
RECIPE_EVAL s7_numerical_niah_r0.1 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.0, 'mode': 'llmlingua'}
RECIPE_EVAL s7_numerical_niah_r0.25 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.078125, 'mode': 'llmlingua'}
RECIPE_EVAL s7_numerical_niah_r0.33 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.4375, 'mode': 'llmlingua'}
RECIPE_EVAL s7_numerical_niah_r0.67 {'no_ctx': 0.0, 'full': 0.53125, 'method': 0.6875, 'mode': 'llmlingua'}
RECIPE_EVAL s7_ruler_niah_r0.1 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.0, 'mode': 'llmlingua'}
RECIPE_EVAL s7_ruler_niah_r0.25 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.234375, 'mode': 'llmlingua'}
RECIPE_EVAL s7_ruler_niah_r0.5 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.828125, 'mode': 'llmlingua'}
RECIPE_EVAL s7_ruler_niah_r0.67 {'no_ctx': 0.0, 'full': 0.921875, 'method': 0.953125, 'mode': 'llmlingua'}
RECIPE_EVAL s7_squad_v2_r0.1 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.28100018620204076, 'mode': 'llmlingua'}
RECIPE_EVAL s7_squad_v2_r0.33 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.44509890373159944, 'mode': 'llmlingua'}
RECIPE_EVAL s7_squad_v2_r0.5 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.5906043739215058, 'mode': 'llmlingua'}
RECIPE_EVAL s7_squad_v2_r0.67 {'no_ctx': 0.18479790025075332, 'full': 0.6763322050949626, 'method': 0.6531559347207867, 'mode': 'llmlingua'}
RECIPE_EVAL s7_trivia_qa_r0.1 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.6995912507631258, 'mode': 'llmlingua'}
RECIPE_EVAL s7_trivia_qa_r0.33 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.7459445068820069, 'mode': 'llmlingua'}
RECIPE_EVAL s7_trivia_qa_r0.5 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.7511171987734487, 'mode': 'llmlingua'}
RECIPE_EVAL s7_trivia_qa_r0.67 {'no_ctx': 0.527947063814631, 'full': 0.7111906869549532, 'method': 0.7378731511544011, 'mode': 'llmlingua'}
RECIPE_EVAL s8_categorical_niah_bud1024 {'no_ctx': 0.22916666666666666, 'full': 0.5208333333333334, 'method': 0.75, 'mode': 'rag'}
RECIPE_EVAL s8_categorical_niah_bud2048 {'no_ctx': 0.22916666666666666, 'full': 0.5208333333333334, 'method': 0.7916666666666666, 'mode': 'rag'}
RECIPE_EVAL s8_categorical_niah_bud4096 {'no_ctx': 0.22916666666666666, 'full': 0.5208333333333334, 'method': 0.8125, 'mode': 'rag'}
RECIPE_EVAL s8_categorical_niah_bud512 {'no_ctx': 0.22916666666666666, 'full': 0.5208333333333334, 'method': 0.7916666666666666, 'mode': 'rag'}
RECIPE_EVAL s8_hotpot_qa_bud1024 {'no_ctx': 0.27288073827707976, 'full': 0.6082592108327403, 'method': 0.6047946198681493, 'mode': 'rag'}
RECIPE_EVAL s8_hotpot_qa_bud2048 {'no_ctx': 0.27288073827707976, 'full': 0.6082592108327403, 'method': 0.589851923675453, 'mode': 'rag'}
RECIPE_EVAL s8_hotpot_qa_bud4096 {'no_ctx': 0.27288073827707976, 'full': 0.6082592108327403, 'method': 0.589851923675453, 'mode': 'rag'}
RECIPE_EVAL s8_hotpot_qa_bud512 {'no_ctx': 0.27288073827707976, 'full': 0.6082592108327403, 'method': 0.607144006592536, 'mode': 'rag'}
RECIPE_EVAL s8_narrativeqa_bud1024 {'no_ctx': 0.09739097650649929, 'full': 0.1393813605761358, 'method': 0.11463587396989237, 'mode': 'rag'}
RECIPE_EVAL s8_narrativeqa_bud2048 {'no_ctx': 0.09739097650649929, 'full': 0.1393813605761358, 'method': 0.11299529047866685, 'mode': 'rag'}
RECIPE_EVAL s8_narrativeqa_bud4096 {'no_ctx': 0.09739097650649929, 'full': 0.1393813605761358, 'method': 0.1708096041123002, 'mode': 'rag'}
RECIPE_EVAL s8_narrativeqa_bud512 {'no_ctx': 0.09739097650649929, 'full': 0.1393813605761358, 'method': 0.12655896075318693, 'mode': 'rag'}
RECIPE_EVAL s8_quality_bud1024 {'no_ctx': 0.22916666666666666, 'full': 0.08333333333333333, 'method': 0.125, 'mode': 'rag'}
RECIPE_EVAL s8_quality_bud2048 {'no_ctx': 0.22916666666666666, 'full': 0.08333333333333333, 'method': 0.08333333333333333, 'mode': 'rag'}
RECIPE_EVAL s8_quality_bud4096 {'no_ctx': 0.22916666666666666, 'full': 0.08333333333333333, 'method': 0.0625, 'mode': 'rag'}
RECIPE_EVAL s8_quality_bud512 {'no_ctx': 0.22916666666666666, 'full': 0.08333333333333333, 'method': 0.125, 'mode': 'rag'}
RECIPE_EVAL s8_ruler_niah_bud1024 {'no_ctx': 0.0, 'full': 0.9375, 'method': 0.8958333333333334, 'mode': 'rag'}
RECIPE_EVAL s8_ruler_niah_bud2048 {'no_ctx': 0.0, 'full': 0.9375, 'method': 0.8541666666666666, 'mode': 'rag'}
RECIPE_EVAL s8_ruler_niah_bud4096 {'no_ctx': 0.0, 'full': 0.9375, 'method': 0.9166666666666666, 'mode': 'rag'}
RECIPE_EVAL s8_ruler_niah_bud512 {'no_ctx': 0.0, 'full': 0.9375, 'method': 0.8958333333333334, 'mode': 'rag'}
RECIPE_EVAL s8_squad_v2_bud1024 {'no_ctx': 0.1869490182274869, 'full': 0.7198337368299135, 'method': 0.7472841249545579, 'mode': 'rag'}
RECIPE_EVAL s8_squad_v2_bud2048 {'no_ctx': 0.1869490182274869, 'full': 0.7198337368299135, 'method': 0.7472841249545579, 'mode': 'rag'}
RECIPE_EVAL s8_squad_v2_bud4096 {'no_ctx': 0.1869490182274869, 'full': 0.7198337368299135, 'method': 0.7472841249545579, 'mode': 'rag'}
RECIPE_EVAL s8_squad_v2_bud512 {'no_ctx': 0.1869490182274869, 'full': 0.7198337368299135, 'method': 0.7472841249545579, 'mode': 'rag'}
RECIPE_EVAL s8_trivia_qa_bud1024 {'no_ctx': 0.5554758898508899, 'full': 0.7192046957671958, 'method': 0.7476190476190476, 'mode': 'rag'}
RECIPE_EVAL s8_trivia_qa_bud2048 {'no_ctx': 0.5554758898508899, 'full': 0.7192046957671958, 'method': 0.7359165888577653, 'mode': 'rag'}
RECIPE_EVAL s8_trivia_qa_bud4096 {'no_ctx': 0.5554758898508899, 'full': 0.7192046957671958, 'method': 0.762037037037037, 'mode': 'rag'}
RECIPE_EVAL s8_trivia_qa_bud512 {'no_ctx': 0.5554758898508899, 'full': 0.7192046957671958, 'method': 0.7356409592822636, 'mode': 'rag'}
RECIPE_EVAL s9_full_hotpot_qa {'no_ctx': 0.32233608405483405, 'full': 0.574855324074074, 'method': 0.574855324074074, 'mode': 'txl'}
RECIPE_EVAL s9_full_narrativeqa {'no_ctx': 0.1162376228932335, 'full': 0.16192226942638127, 'method': 0.16192226942638127, 'mode': 'txl'}
RECIPE_EVAL s9_full_quality {'no_ctx': 0.1875, 'full': 0.046875, 'method': 0.046875, 'mode': 'txl'}
RECIPE_EVAL s9_full_ruler_niah {'no_ctx': 0.0, 'full': 0.859375, 'method': 0.859375, 'mode': 'txl'}
RECIPE_EVAL s9_full_squad_v2 {'no_ctx': 0.25224945720809694, 'full': 0.7388955476091825, 'method': 0.7388955476091825, 'mode': 'txl'}
RECIPE_EVAL s9_ll50_hotpot_qa {'no_ctx': 0.34316941738816736, 'full': 0.5696056547619047, 'method': 0.5734283341959973, 'mode': 'llmlingua'}
RECIPE_EVAL s9_ll50_narrativeqa {'no_ctx': 0.1162376228932335, 'full': 0.16192226942638127, 'method': 0.22648958096439248, 'mode': 'llmlingua'}
RECIPE_EVAL s9_ll50_quality {'no_ctx': 0.203125, 'full': 0.046875, 'method': 0.078125, 'mode': 'llmlingua'}
RECIPE_EVAL s9_ll50_ruler_niah {'no_ctx': 0.0, 'full': 0.859375, 'method': 0.875, 'mode': 'llmlingua'}
RECIPE_EVAL s9_ll50_squad_v2 {'no_ctx': 0.25224945720809694, 'full': 0.7227262747894521, 'method': 0.6897791974407949, 'mode': 'llmlingua'}
RECIPE_EVAL s9_rag_hotpot_qa {'no_ctx': 0.34316941738816736, 'full': 0.5696056547619047, 'method': 0.6059646617383513, 'mode': 'rag'}
RECIPE_EVAL s9_rag_narrativeqa {'no_ctx': 0.1162376228932335, 'full': 0.16192226942638127, 'method': 0.17781180054589654, 'mode': 'rag'}
RECIPE_EVAL s9_rag_quality {'no_ctx': 0.203125, 'full': 0.046875, 'method': 0.046875, 'mode': 'rag'}
RECIPE_EVAL s9_rag_ruler_niah {'no_ctx': 0.0, 'full': 0.859375, 'method': 0.890625, 'mode': 'rag'}
RECIPE_EVAL s9_rag_squad_v2 {'no_ctx': 0.25224945720809694, 'full': 0.7227262747894521, 'method': 0.6637706043956044, 'mode': 'rag'}
RECIPE_EVAL s9_win1k_hotpot_qa {'no_ctx': 0.32233608405483405, 'full': 0.574855324074074, 'method': 0.5791607926065163, 'mode': 'txl'}
RECIPE_EVAL s9_win1k_narrativeqa {'no_ctx': 0.1162376228932335, 'full': 0.16192226942638127, 'method': 0.13610645200766053, 'mode': 'txl'}
RECIPE_EVAL s9_win1k_quality {'no_ctx': 0.1875, 'full': 0.046875, 'method': 0.171875, 'mode': 'txl'}
RECIPE_EVAL s9_win1k_ruler_niah {'no_ctx': 0.0, 'full': 0.859375, 'method': 0.125, 'mode': 'txl'}
RECIPE_EVAL s9_win1k_squad_v2 {'no_ctx': 0.25224945720809694, 'full': 0.7388955476091825, 'method': 0.7388955476091825, 'mode': 'txl'}
