signal,angle,granularity,bench,auroc_correct,auroc_noharm,spearman_cont
ll_entropy_w_l@6,confidence,per_layer,musr_mm,0.4885,0.5040,-0.0079
ll_argmax_agree_final_l@16,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_conf_w_l@12,confidence,per_layer,musr_mm,0.5113,0.5265,0.0021
ll_margin_w_l@17,confidence,per_layer,musr_mm,0.4929,0.4716,0.0061
ll_entropy_w_l@1,confidence,per_layer,musr_mm,0.5175,0.4950,0.0346
drift_l@1,geometry,per_layer,musr_mm,0.4901,0.5363,-0.0088
kl_w0,divergence,scalar,musr_mm,0.4926,0.4446,-0.0155
drift_l@28,geometry,per_layer,musr_mm,0.4944,0.5140,-0.0142
ll_margin_w_l@10,confidence,per_layer,musr_mm,0.5022,0.4956,0.0246
ll_argmax_agree_final_l@11,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_argmax_agree_final_l@21,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_kl_wb_l@36,divergence,per_layer,musr_mm,0.4904,0.4470,-0.0090
ll_kl_wb_l@13,divergence,per_layer,musr_mm,0.4897,0.5248,-0.0240
ll_argmax_agree_final_l@33,agreement,per_layer,musr_mm,0.5020,0.5091,0.0063
ll_margin_w_l@9,confidence,per_layer,musr_mm,0.5005,0.5115,0.0145
ll_argmax_agree_final_l@34,agreement,per_layer,musr_mm,0.5015,0.4963,0.0041
ll_kl_wb_l::early,divergence,derived,musr_mm,0.4908,0.5565,-0.0148
ll_kl_wb_l@7,divergence,per_layer,musr_mm,0.4902,0.5584,-0.0089
drift_l@30,geometry,per_layer,musr_mm,0.4948,0.5196,-0.0147
ll_margin_w_l@35,confidence,per_layer,musr_mm,0.4968,0.5037,-0.0036
delta_last,geometry,scalar,musr_mm,0.4953,0.4851,0.0109
ll_margin_w_l@24,confidence,per_layer,musr_mm,0.4975,0.4904,0.0004
ll_margin_w_l@28,confidence,per_layer,musr_mm,0.5054,0.4937,0.0077
ll_margin_w_l@13,confidence,per_layer,musr_mm,0.5109,0.4580,0.0143
drift_l@2,geometry,per_layer,musr_mm,0.4859,0.5265,-0.0100
ll_margin_w_l::mean,confidence,derived,musr_mm,0.5025,0.5258,0.0207
ll_margin_w_l::max,confidence,derived,musr_mm,0.4960,0.5160,0.0056
ll_conf_w_l@20,confidence,per_layer,musr_mm,0.5010,0.5042,-0.0138
drift_l::min,geometry,derived,musr_mm,0.5000,0.5000,
drift_l@31,geometry,per_layer,musr_mm,0.4937,0.5106,-0.0184
ll_margin_w_l@5,confidence,per_layer,musr_mm,0.4785,0.5279,-0.0347
ll_kl_wb_l@34,divergence,per_layer,musr_mm,0.4929,0.4696,-0.0095
ll_argmax_agree_final_l@26,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@3,geometry,per_layer,musr_mm,0.4874,0.5426,-0.0082
ll_argmax_agree_final_l@20,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_margin_w_l@33,confidence,per_layer,musr_mm,0.5105,0.5309,0.0206
span_entropy_mean,confidence,scalar,musr_mm,0.5070,0.5174,0.0062
ll_margin_w_l::mid,confidence,derived,musr_mm,0.4908,0.5083,-0.0050
seq_logprob,confidence,scalar,musr_mm,0.5016,0.4678,0.0126
ll_kl_wb_l@2,divergence,per_layer,musr_mm,0.4857,0.5372,-0.0110
ll_conf_w_l@6,confidence,per_layer,musr_mm,0.4997,0.4795,-0.0100
ll_kl_wb_l@19,divergence,per_layer,musr_mm,0.4919,0.5180,-0.0213
ll_argmax_agree_final_l@13,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@11,geometry,per_layer,musr_mm,0.4888,0.5478,-0.0234
drift_l@10,geometry,per_layer,musr_mm,0.4883,0.5521,-0.0167
ll_entropy_w_l@8,confidence,per_layer,musr_mm,0.5184,0.5098,0.0326
drift_l@29,geometry,per_layer,musr_mm,0.4940,0.5163,-0.0152
ll_entropy_w_l@32,confidence,per_layer,musr_mm,0.4954,0.5093,-0.0240
ll_argmax_agree_final_l@2,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_kl_wb_l@17,divergence,per_layer,musr_mm,0.4922,0.5177,-0.0218
ll_conf_w_l::early,confidence,derived,musr_mm,0.4958,0.4993,-0.0131
ll_conf_w_l@15,confidence,per_layer,musr_mm,0.5105,0.4610,0.0294
ll_margin_w_l@11,confidence,per_layer,musr_mm,0.4956,0.5368,-0.0004
ll_conf_w_l@18,confidence,per_layer,musr_mm,0.5065,0.4918,0.0096
ll_kl_wb_l::min,divergence,derived,musr_mm,0.5000,0.5000,
drift_l@0,geometry,per_layer,musr_mm,0.5000,0.5000,
ll_argmax_agree_final_l@1,agreement,per_layer,musr_mm,0.5000,0.5000,
entropy_0,confidence,scalar,musr_mm,0.5041,0.4784,-0.0183
ll_entropy_w_l::mean,confidence,derived,musr_mm,0.4937,0.4681,-0.0054
ll_entropy_w_l@35,confidence,per_layer,musr_mm,0.5080,0.4988,0.0119
ll_entropy_w_l@17,confidence,per_layer,musr_mm,0.5042,0.5359,-0.0113
ll_margin_w_l::slope,confidence,derived,musr_mm,0.5008,0.5310,0.0170
ll_entropy_w_l@27,confidence,per_layer,musr_mm,0.4897,0.5158,-0.0169
ll_margin_w_l@22,confidence,per_layer,musr_mm,0.4974,0.5093,0.0182
ll_conf_w_l@5,confidence,per_layer,musr_mm,0.4986,0.5037,-0.0041
ll_entropy_w_l@10,confidence,per_layer,musr_mm,0.5031,0.4586,-0.0011
delta_mean,geometry,scalar,musr_mm,0.4965,0.4827,0.0126
ll_argmax_agree_final_l@7,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_argmax_agree_final_l@18,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@16,geometry,per_layer,musr_mm,0.4956,0.5253,-0.0200
first_tok_agree,agreement,scalar,musr_mm,0.4993,0.4779,-0.0019
span_entropy_min,confidence,scalar,musr_mm,0.5134,0.4995,0.0179
ll_argmax_agree_final_l::mean,agreement,derived,musr_mm,0.5014,0.5128,-0.0001
ll_margin_w_l::late,confidence,derived,musr_mm,0.5001,0.5290,0.0160
ll_argmax_agree_final_l@5,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_conf_w_l@17,confidence,per_layer,musr_mm,0.4974,0.4580,0.0154
ll_kl_wb_l@21,divergence,per_layer,musr_mm,0.4913,0.5292,-0.0351
ll_argmax_agree_final_l@25,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@35,geometry,per_layer,musr_mm,0.4831,0.4792,-0.0322
ll_argmax_agree_final_l::early,agreement,derived,musr_mm,0.5000,0.5000,
ll_margin_w_l@16,confidence,per_layer,musr_mm,0.4981,0.4362,0.0039
ll_argmax_agree_final_l@0,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_conf_w_l::mean,confidence,derived,musr_mm,0.5019,0.5246,0.0141
ll_conf_w_l@35,confidence,per_layer,musr_mm,0.4975,0.5087,-0.0013
ll_conf_w_l@25,confidence,per_layer,musr_mm,0.5009,0.5122,0.0113
ll_conf_w_l::max,confidence,derived,musr_mm,0.4973,0.5146,0.0080
perplexity,confidence,scalar,musr_mm,0.5013,0.4895,-0.0038
ll_conf_w_l@16,confidence,per_layer,musr_mm,0.4954,0.4471,0.0028
ll_conf_w_l@21,confidence,per_layer,musr_mm,0.4972,0.5498,-0.0041
drift_l@21,geometry,per_layer,musr_mm,0.4928,0.5069,-0.0209
ll_kl_wb_l@5,divergence,per_layer,musr_mm,0.4924,0.5463,-0.0087
ll_kl_wb_l@33,divergence,per_layer,musr_mm,0.4913,0.4522,-0.0129
ll_argmax_agree_final_l@30,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_margin_w_l@25,confidence,per_layer,musr_mm,0.4970,0.4981,0.0166
ll_kl_wb_l@23,divergence,per_layer,musr_mm,0.4894,0.5234,-0.0211
ll_kl_wb_l@24,divergence,per_layer,musr_mm,0.4942,0.4999,-0.0151
drift_l::mid,geometry,derived,musr_mm,0.4923,0.5259,-0.0217
ll_argmax_agree_final_l@17,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@23,geometry,per_layer,musr_mm,0.4948,0.5045,-0.0162
ll_conf_w_l@33,confidence,per_layer,musr_mm,0.5107,0.5360,0.0213
ll_kl_wb_l@28,divergence,per_layer,musr_mm,0.4946,0.5257,-0.0078
ll_entropy_w_l@21,confidence,per_layer,musr_mm,0.5086,0.4608,0.0229
ll_entropy_w_l@3,confidence,per_layer,musr_mm,0.4933,0.5052,0.0071
ll_argmax_agree_final_l::late,agreement,derived,musr_mm,0.5014,0.5128,-0.0001
ll_kl_wb_l@29,divergence,per_layer,musr_mm,0.4894,0.5012,-0.0105
ll_conf_w_l@24,confidence,per_layer,musr_mm,0.4937,0.4944,-0.0166
ll_kl_wb_l@20,divergence,per_layer,musr_mm,0.4929,0.5302,-0.0213
ll_conf_w_l@11,confidence,per_layer,musr_mm,0.5023,0.5352,0.0112
ll_entropy_w_l@2,confidence,per_layer,musr_mm,0.5019,0.4969,0.0149
ll_conf_w_l@27,confidence,per_layer,musr_mm,0.5051,0.5095,0.0090
ll_conf_w_l@28,confidence,per_layer,musr_mm,0.5060,0.4860,0.0097
ll_argmax_agree_final_l::mid,agreement,derived,musr_mm,0.5000,0.5000,
ll_kl_wb_l@18,divergence,per_layer,musr_mm,0.4937,0.5210,-0.0165
ll_margin_w_l@19,confidence,per_layer,musr_mm,0.4980,0.4679,0.0012
ll_argmax_agree_final_l@29,agreement,per_layer,musr_mm,0.5051,0.5141,0.0192
q_chunk_max_cos,geometry,scalar,musr_mm,0.4484,0.6333,-0.0945
drift_l@5,geometry,per_layer,musr_mm,0.4906,0.5496,-0.0111
ll_kl_wb_l@4,divergence,per_layer,musr_mm,0.4876,0.5340,-0.0113
drift_l::slope,geometry,derived,musr_mm,0.5087,0.4487,0.0085
ll_entropy_w_l::min,confidence,derived,musr_mm,0.5001,0.4902,-0.0102
drift_mem,geometry,scalar,musr_mm,0.4895,0.4908,-0.0008
q_chunk_mean_cos,geometry,scalar,musr_mm,0.4357,0.5835,-0.1462
ll_entropy_w_l::slope,confidence,derived,musr_mm,0.4860,0.4892,-0.0287
ll_kl_wb_l::mean,divergence,derived,musr_mm,0.4847,0.5000,-0.0233
span_conf_mean,confidence,scalar,musr_mm,0.4939,0.4937,0.0028
ll_entropy_w_l::mid,confidence,derived,musr_mm,0.5079,0.4863,0.0159
ll_entropy_w_l@0,confidence,per_layer,musr_mm,0.5000,0.5000,
ll_argmax_agree_final_l::min,agreement,derived,musr_mm,0.5000,0.5000,
ll_kl_wb_l::mid,divergence,derived,musr_mm,0.4871,0.5167,-0.0240
ll_conf_w_l@7,confidence,per_layer,musr_mm,0.5029,0.5188,-0.0010
ll_conf_w_l@34,confidence,per_layer,musr_mm,0.5003,0.5525,0.0073
ll_margin_w_l@34,confidence,per_layer,musr_mm,0.4988,0.5435,0.0079
drift_l@17,geometry,per_layer,musr_mm,0.4949,0.5247,-0.0189
ll_conf_w_l::min,confidence,derived,musr_mm,0.4949,0.4735,-0.0124
ll_argmax_agree_final_l@4,agreement,per_layer,musr_mm,0.5000,0.5000,
margin_0,confidence,scalar,musr_mm,0.4955,0.4644,0.0110
ll_entropy_w_l@18,confidence,per_layer,musr_mm,0.4936,0.4978,-0.0117
drift_l@9,geometry,per_layer,musr_mm,0.4905,0.5637,-0.0178
ll_conf_w_l@32,confidence,per_layer,musr_mm,0.5109,0.4814,0.0319
mem_influence_argmax_change,agreement,scalar,musr_mm,0.5007,0.5221,0.0019
ll_argmax_agree_final_l@15,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_kl_wb_l@26,divergence,per_layer,musr_mm,0.4918,0.4996,-0.0117
ll_margin_w_l@31,confidence,per_layer,musr_mm,0.5048,0.5211,0.0154
ll_entropy_w_l@7,confidence,per_layer,musr_mm,0.4965,0.4859,-0.0145
ll_margin_w_l@4,confidence,per_layer,musr_mm,0.5087,0.5334,0.0240
ll_conf_w_l@9,confidence,per_layer,musr_mm,0.4929,0.5172,0.0066
drift_l::late,geometry,derived,musr_mm,0.4909,0.5065,-0.0201
ll_kl_wb_l@30,divergence,per_layer,musr_mm,0.5050,0.5265,0.0058
ll_argmax_agree_final_l@3,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_entropy_w_l@4,confidence,per_layer,musr_mm,0.4902,0.4843,-0.0063
ll_margin_w_l@30,confidence,per_layer,musr_mm,0.4946,0.4897,-0.0020
ll_kl_wb_l@35,divergence,per_layer,musr_mm,0.4930,0.4594,-0.0096
ll_margin_w_l::min,confidence,derived,musr_mm,0.5130,0.5087,0.0318
ll_entropy_w_l@22,confidence,per_layer,musr_mm,0.5076,0.4669,-0.0043
drift_l@18,geometry,per_layer,musr_mm,0.4930,0.5252,-0.0207
ll_kl_wb_l@16,divergence,per_layer,musr_mm,0.4914,0.5079,-0.0241
ll_margin_w_l::early,confidence,derived,musr_mm,0.5002,0.4897,0.0021
js_w0,divergence,scalar,musr_mm,0.4930,0.4374,-0.0124
ll_conf_w_l@26,confidence,per_layer,musr_mm,0.5050,0.5157,0.0176
ll_margin_w_l@32,confidence,per_layer,musr_mm,0.5137,0.4812,0.0345
ll_kl_wb_l::slope,divergence,derived,musr_mm,0.4944,0.4614,-0.0036
drift_l::early,geometry,derived,musr_mm,0.4915,0.5576,-0.0147
ll_conf_w_l@8,confidence,per_layer,musr_mm,0.4879,0.4441,-0.0195
ll_conf_w_l@36,confidence,per_layer,musr_mm,0.5049,0.5045,0.0221
delta_trend,geometry,scalar,musr_mm,0.5147,0.4715,0.0437
ll_entropy_w_l@36,confidence,per_layer,musr_mm,0.4912,0.4761,-0.0243
drift_l@8,geometry,per_layer,musr_mm,0.4902,0.5629,-0.0182
ll_argmax_agree_final_l@12,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_kl_wb_l@14,divergence,per_layer,musr_mm,0.4928,0.5284,-0.0160
margin_w,confidence,scalar,musr_mm,0.4995,0.4694,0.0151
drift_l@36,geometry,per_layer,musr_mm,0.4837,0.4636,-0.0192
ll_entropy_w_l@11,confidence,per_layer,musr_mm,0.4948,0.4717,-0.0089
ll_entropy_w_l::early,confidence,derived,musr_mm,0.5036,0.4656,0.0169
slot_active_frac,geometry,scalar,musr_mm,0.4874,0.5499,-0.0042
drift_l@22,geometry,per_layer,musr_mm,0.4945,0.5096,-0.0202
ll_conf_w_l@2,confidence,per_layer,musr_mm,0.5013,0.5076,-0.0166
slot_norm_std,geometry,scalar,musr_mm,0.5283,0.4914,0.0455
drift_l@26,geometry,per_layer,musr_mm,0.4947,0.5091,-0.0149
ll_conf_w_l@1,confidence,per_layer,musr_mm,0.4865,0.5257,-0.0236
ll_kl_wb_l::late,divergence,derived,musr_mm,0.4855,0.4781,-0.0161
slot_norm_mean,geometry,scalar,musr_mm,0.4895,0.4908,-0.0007
ll_argmax_agree_final_l::max,agreement,derived,musr_mm,0.4983,0.5089,-0.0141
conf_w,confidence,scalar,musr_mm,0.4969,0.4665,0.0099
drift_l@12,geometry,per_layer,musr_mm,0.4895,0.5410,-0.0241
ll_entropy_w_l::max,confidence,derived,musr_mm,0.4885,0.5040,-0.0079
ll_kl_wb_l@32,divergence,per_layer,musr_mm,0.4948,0.4789,-0.0111
ll_entropy_w_l@30,confidence,per_layer,musr_mm,0.5093,0.5067,0.0070
drift_l@33,geometry,per_layer,musr_mm,0.4896,0.5102,-0.0242
ll_conf_w_l@14,confidence,per_layer,musr_mm,0.4998,0.5177,0.0005
ll_entropy_w_l@20,confidence,per_layer,musr_mm,0.4995,0.4997,0.0153
top5_mass_w,confidence,scalar,musr_mm,0.4872,0.4622,-0.0086
drift_l@24,geometry,per_layer,musr_mm,0.4955,0.5070,-0.0157
ll_entropy_w_l@24,confidence,per_layer,musr_mm,0.4929,0.5012,-0.0003
drift_l::max,geometry,derived,musr_mm,0.4852,0.4741,-0.0243
ll_margin_w_l@8,confidence,per_layer,musr_mm,0.4924,0.4370,-0.0110
ll_conf_w_l@3,confidence,per_layer,musr_mm,0.5074,0.4653,-0.0074
ll_argmax_agree_final_l::slope,agreement,derived,musr_mm,0.5014,0.5128,-0.0001
ll_margin_w_l@21,confidence,per_layer,musr_mm,0.4987,0.5578,0.0024
ll_margin_w_l@29,confidence,per_layer,musr_mm,0.4804,0.4936,-0.0198
ll_argmax_agree_final_l@24,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_kl_wb_l@8,divergence,per_layer,musr_mm,0.4909,0.5627,-0.0094
q_chunk_spread,geometry,scalar,musr_mm,0.5118,0.5620,0.0560
ll_kl_wb_l@31,divergence,per_layer,musr_mm,0.4866,0.4868,-0.0188
ll_argmax_agree_final_l@27,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_kl_wb_l@1,divergence,per_layer,musr_mm,0.4913,0.5368,-0.0061
ll_entropy_w_l@26,confidence,per_layer,musr_mm,0.4983,0.4736,-0.0040
ll_kl_wb_l@10,divergence,per_layer,musr_mm,0.4898,0.5466,-0.0170
ll_conf_w_l@23,confidence,per_layer,musr_mm,0.5022,0.5155,-0.0030
ll_argmax_agree_final_l@28,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_margin_w_l@36,confidence,per_layer,musr_mm,0.4951,0.4951,0.0105
ll_entropy_w_l@19,confidence,per_layer,musr_mm,0.5023,0.4997,0.0175
ll_entropy_w_l@28,confidence,per_layer,musr_mm,0.4918,0.5139,-0.0135
ll_conf_w_l::mid,confidence,derived,musr_mm,0.4888,0.5094,-0.0094
ll_margin_w_l@27,confidence,per_layer,musr_mm,0.5046,0.5187,0.0091
drift_l@20,geometry,per_layer,musr_mm,0.4925,0.5173,-0.0242
drift_l::mean,geometry,derived,musr_mm,0.4884,0.5273,-0.0224
ll_conf_w_l@13,confidence,per_layer,musr_mm,0.5114,0.4493,0.0132
ll_kl_wb_l@27,divergence,per_layer,musr_mm,0.4904,0.5231,-0.0063
conf_0,confidence,scalar,musr_mm,0.4980,0.4675,0.0183
drift_l@25,geometry,per_layer,musr_mm,0.4956,0.5084,-0.0140
delta_max,geometry,scalar,musr_mm,0.4974,0.4859,0.0154
ll_conf_w_l@0,confidence,per_layer,musr_mm,0.5000,0.5000,
ll_entropy_w_l@12,confidence,per_layer,musr_mm,0.4959,0.4924,0.0129
ll_entropy_w_l@34,confidence,per_layer,musr_mm,0.4958,0.4526,-0.0030
ll_conf_w_l@31,confidence,per_layer,musr_mm,0.5063,0.5339,0.0154
ll_margin_w_l@12,confidence,per_layer,musr_mm,0.5190,0.5390,0.0280
ll_kl_wb_l@3,divergence,per_layer,musr_mm,0.4919,0.5392,-0.0042
ll_kl_wb_l@9,divergence,per_layer,musr_mm,0.4884,0.5513,-0.0181
span_entropy_last,confidence,scalar,musr_mm,0.4897,0.4997,-0.0036
ll_argmax_agree_final_l@31,agreement,per_layer,musr_mm,0.5000,0.5008,-0.0012
ll_argmax_agree_final_l@10,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_argmax_agree_final_l@8,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_entropy_w_l@25,confidence,per_layer,musr_mm,0.4899,0.4781,-0.0062
ll_entropy_w_l@23,confidence,per_layer,musr_mm,0.5004,0.4630,-0.0050
ll_margin_w_l@2,confidence,per_layer,musr_mm,0.4943,0.5147,-0.0211
drift_l@34,geometry,per_layer,musr_mm,0.4880,0.5127,-0.0255
ll_entropy_w_l@33,confidence,per_layer,musr_mm,0.4899,0.4614,-0.0216
ll_conf_w_l@29,confidence,per_layer,musr_mm,0.4879,0.4971,-0.0120
ll_margin_w_l@3,confidence,per_layer,musr_mm,0.5104,0.4639,0.0004
ll_margin_w_l@26,confidence,per_layer,musr_mm,0.5026,0.5083,0.0190
ll_kl_wb_l@6,divergence,per_layer,musr_mm,0.4917,0.5577,-0.0089
ll_kl_wb_l@12,divergence,per_layer,musr_mm,0.4877,0.5470,-0.0278
ll_argmax_agree_final_l@14,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_kl_wb_l@25,divergence,per_layer,musr_mm,0.4933,0.5082,-0.0134
ll_kl_wb_l@22,divergence,per_layer,musr_mm,0.4879,0.5092,-0.0190
ll_entropy_w_l@13,confidence,per_layer,musr_mm,0.4873,0.5185,-0.0135
ll_conf_w_l@19,confidence,per_layer,musr_mm,0.4945,0.4853,-0.0144
ll_margin_w_l@18,confidence,per_layer,musr_mm,0.5077,0.4884,0.0151
ll_margin_w_l@23,confidence,per_layer,musr_mm,0.5019,0.5068,-0.0009
drift_l@19,geometry,per_layer,musr_mm,0.4921,0.5087,-0.0209
mem_influence_kl,divergence,scalar,musr_mm,0.4905,0.4453,-0.0177
drift_l@15,geometry,per_layer,musr_mm,0.4936,0.5298,-0.0204
ll_entropy_w_l@31,confidence,per_layer,musr_mm,0.4983,0.4541,-0.0060
ll_conf_w_l::late,confidence,derived,musr_mm,0.5037,0.5268,0.0166
ll_argmax_agree_final_l@36,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@13,geometry,per_layer,musr_mm,0.4896,0.5398,-0.0245
ll_argmax_agree_final_l@23,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_margin_w_l@14,confidence,per_layer,musr_mm,0.5073,0.5394,-0.0000
ll_margin_w_l@1,confidence,per_layer,musr_mm,0.4898,0.5268,-0.0168
drift_l@14,geometry,per_layer,musr_mm,0.4898,0.5390,-0.0253
ll_entropy_w_l@5,confidence,per_layer,musr_mm,0.4912,0.5056,-0.0157
ll_argmax_agree_final_l@6,agreement,per_layer,musr_mm,0.5000,0.5000,
kl_0w,divergence,scalar,musr_mm,0.4936,0.4387,-0.0122
ll_argmax_agree_final_l@19,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@32,geometry,per_layer,musr_mm,0.4942,0.5084,-0.0185
tv_w0,divergence,scalar,musr_mm,0.4918,0.4505,-0.0118
ll_entropy_w_l@9,confidence,per_layer,musr_mm,0.5093,0.4747,0.0033
ll_kl_wb_l@11,divergence,per_layer,musr_mm,0.4910,0.5608,-0.0194
ll_margin_w_l@7,confidence,per_layer,musr_mm,0.4839,0.5413,-0.0340
entropy_w,confidence,scalar,musr_mm,0.5105,0.5406,0.0054
drift_l@4,geometry,per_layer,quality,0.4914,0.5256,-0.0793
ll_entropy_w_l@29,confidence,per_layer,quality,0.4796,0.4661,-0.0101
ll_argmax_agree_final_l@32,agreement,per_layer,quality,0.4906,0.5091,-0.0412
ll_conf_w_l@4,confidence,per_layer,quality,0.5080,0.4651,0.0606
ll_argmax_agree_final_l@22,agreement,per_layer,quality,0.5000,0.5000,
drift_l@6,geometry,per_layer,quality,0.5000,0.5264,-0.0545
ll_margin_w_l@15,confidence,per_layer,quality,0.4821,0.5254,-0.0659
ll_argmax_agree_final_l@9,agreement,per_layer,quality,0.5000,0.5000,
ll_argmax_agree_final_l@35,agreement,per_layer,quality,0.4754,0.5302,-0.0399
ll_kl_wb_l@15,divergence,per_layer,quality,0.5108,0.4168,0.0410
ll_kl_wb_l::max,divergence,derived,quality,0.4692,0.4091,-0.0225
ll_entropy_w_l@15,confidence,per_layer,quality,0.5075,0.4956,0.0291
drift_l@27,geometry,per_layer,quality,0.5139,0.4227,0.0579
ll_entropy_w_l@16,confidence,per_layer,quality,0.5086,0.4880,0.0525
ll_entropy_w_l@14,confidence,per_layer,quality,0.5116,0.5479,-0.0171
ll_margin_w_l@20,confidence,per_layer,quality,0.4701,0.4716,-0.0632
ll_conf_w_l@10,confidence,per_layer,quality,0.5123,0.5396,0.0149
ll_kl_wb_l@0,divergence,per_layer,quality,0.5000,0.5000,
ll_conf_w_l::slope,confidence,derived,quality,0.4909,0.5786,-0.0173
ll_conf_w_l@22,confidence,per_layer,quality,0.4648,0.4455,-0.0837
ll_conf_w_l@30,confidence,per_layer,quality,0.4778,0.5700,-0.0929
ll_margin_w_l@0,confidence,per_layer,quality,0.5000,0.5000,
ll_margin_w_l@6,confidence,per_layer,quality,0.4987,0.4406,-0.0799
ll_entropy_w_l::late,confidence,derived,quality,0.4947,0.4856,-0.0133
drift_l@7,geometry,per_layer,quality,0.4983,0.5136,-0.0559
slot_norm_max,geometry,scalar,quality,0.4990,0.5034,-0.0082
ll_entropy_w_l@6,confidence,per_layer,quality,0.5036,0.4772,0.0287
ll_argmax_agree_final_l@16,agreement,per_layer,quality,0.5000,0.5000,
ll_conf_w_l@12,confidence,per_layer,quality,0.5125,0.4640,0.0118
ll_margin_w_l@17,confidence,per_layer,quality,0.5229,0.3999,0.0388
ll_entropy_w_l@1,confidence,per_layer,quality,0.4854,0.5824,-0.0514
drift_l@1,geometry,per_layer,quality,0.4954,0.5217,-0.0694
kl_w0,divergence,scalar,quality,0.5162,0.4415,0.1017
drift_l@28,geometry,per_layer,quality,0.5139,0.4276,0.0635
ll_margin_w_l@10,confidence,per_layer,quality,0.5121,0.5401,0.0112
ll_argmax_agree_final_l@11,agreement,per_layer,quality,0.5000,0.5000,
ll_argmax_agree_final_l@21,agreement,per_layer,quality,0.5000,0.5000,
ll_kl_wb_l@36,divergence,per_layer,quality,0.4862,0.4134,-0.0189
ll_kl_wb_l@13,divergence,per_layer,quality,0.5113,0.4450,0.0409
ll_argmax_agree_final_l@33,agreement,per_layer,quality,0.4989,0.5691,-0.0418
ll_margin_w_l@9,confidence,per_layer,quality,0.5029,0.4642,-0.0504
ll_argmax_agree_final_l@34,agreement,per_layer,quality,0.4642,0.4925,-0.0754
ll_kl_wb_l::early,divergence,derived,quality,0.5008,0.4740,-0.0257
ll_kl_wb_l@7,divergence,per_layer,quality,0.4995,0.5160,-0.0586
drift_l@30,geometry,per_layer,quality,0.5152,0.4244,0.0691
ll_margin_w_l@35,confidence,per_layer,quality,0.4650,0.5462,-0.0526
delta_last,geometry,scalar,quality,0.5107,0.5083,-0.0045
ll_margin_w_l@24,confidence,per_layer,quality,0.4944,0.4637,0.0121
ll_margin_w_l@28,confidence,per_layer,quality,0.5263,0.5455,0.0420
ll_margin_w_l@13,confidence,per_layer,quality,0.4857,0.4673,-0.0111
drift_l@2,geometry,per_layer,quality,0.4910,0.5036,-0.0719
ll_margin_w_l::mean,confidence,derived,quality,0.4772,0.5247,-0.0731
ll_margin_w_l::max,confidence,derived,quality,0.4854,0.5954,-0.0563
ll_conf_w_l@20,confidence,per_layer,quality,0.4762,0.4356,-0.0363
drift_l::min,geometry,derived,quality,0.5000,0.5000,
drift_l@31,geometry,per_layer,quality,0.5101,0.4234,0.0651
ll_margin_w_l@5,confidence,per_layer,quality,0.5078,0.5164,-0.0048
ll_kl_wb_l@34,divergence,per_layer,quality,0.4868,0.4483,0.0708
ll_argmax_agree_final_l@26,agreement,per_layer,quality,0.5000,0.5000,
drift_l@3,geometry,per_layer,quality,0.4930,0.5162,-0.0733
ll_argmax_agree_final_l@20,agreement,per_layer,quality,0.5000,0.5000,
ll_margin_w_l@33,confidence,per_layer,quality,0.4970,0.4384,0.0260
span_entropy_mean,confidence,scalar,quality,0.5201,0.4350,0.1158
ll_margin_w_l::mid,confidence,derived,quality,0.4710,0.4143,-0.0920
seq_logprob,confidence,scalar,quality,0.4709,0.5401,0.0238
ll_kl_wb_l@2,divergence,per_layer,quality,0.4906,0.5058,-0.0595
ll_conf_w_l@6,confidence,per_layer,quality,0.4936,0.4448,-0.1033
ll_kl_wb_l@19,divergence,per_layer,quality,0.5210,0.4391,0.0424
ll_argmax_agree_final_l@13,agreement,per_layer,quality,0.5000,0.5000,
drift_l@11,geometry,per_layer,quality,0.4958,0.4234,-0.0016
drift_l@10,geometry,per_layer,quality,0.4988,0.4487,-0.0253
ll_entropy_w_l@8,confidence,per_layer,quality,0.5150,0.5170,0.1069
drift_l@29,geometry,per_layer,quality,0.5145,0.4286,0.0693
